chickenLeg,1001,3.00,4.50,50,100
chickenThigh,1002,3.25,4.88,50,100
chickenBreast,1003,3.50,5.25,50,100
chickenNeck,1004,1.00,1.50,12.5,25
chickenLiver,1005,0.50,0.75,12.5,25
chickenBeak,1006,0.50,0.75,12.5,25
chickenGizzard,1007,0.75,1.13,12.5,25
chickenWing,1008,3.00,4.50,25,50
chickenFeet,1009,1.25,1.88,12.5,25
chickenSausage,1010,3.50,5.25,25,50
chickenHeart,1011,1.20,1.80,12.5,25
chickenWhole,1012,6.00,9.00,50,100
beefTBone,2001,5.50,8.25,37.5,75
beefSirloin,2002,5.50,8.25,37.5,75
beefRibeye,2003,5.95,8.93,37.5,75
beefGround,2004,5.00,7.50,37.5,75
beefNewYorkStrip,2005,7.20,10.80,37.5,75
beefChuck,2006,7.00,10.50,37.5,75
beefBrisket,2007,8.50,12.75,37.5,75
beefPlate,2008,5.75,8.63,25,50
beefFlank,2009,4.00,6.00,25,50
beefSirloin,2010,6.00,9.00,25,50
beefTenderloin,2011,6.00,9.00,37.5,75
beefTopSirloin,2012,6.00,9.00,25,50
beefShortLoin,2013,6.00,9.00,25,50
beefBottomSirloin,2014,5.75,8.63,25,50
beefRound,2015,5.00,7.50,25,50
beefShank,2016,4.00,6.00,25,50
beefTongue,2017,3.00,4.50,12.5,25
beefSausage,2018,5.00,7.50,25,50
beefTesticle,2019,2.00,3.00,12.5,25
porkTongue,3001,3.00,4.50,12.5,25
porkFeet,3002,2.25,3.38,12.5,25
porkRibChop,3003,4.50,6.75,25,50
porkLoin,3004,4.75,7.13,25,50
porkLeg,3005,40.00,60.00,50,100
porkLegSteak,3006,5.85,8.78,25,50
porkSpareRibs,3007,4.80,7.20,25,50
porkBellySlice,3008,3.75,5.63,25,50
porkShoulderJoint,3009,3.00,4.50,12.5,25
porkMiniLegJoint,3010,3.00,4.50,12.5,25
porkShoulderSteak,3011,4.50,6.75,37.5,75
porkLoinSteak,3012,4.50,6.75,37.5,75
porkBucco,3013,3.00,4.50,12.5,25
porkTesticle,3014,1.00,1.50,12.5,25
porkShoulder,3015,6.00,9.00,37.5,75
porkSausage,3016,5.75,8.63,37.5,75
porkCuredHam,3017,6.00,9.00,25,50
porkWhole,3018,9,13.50,50,100
